안전조직수준,위원회수준,인증보유,위험성평가수준,교육훈련도움,정리정돈상태,작업중지권,작업반장기여,전문지도,고용노동부감독,안전보건공단지원,공사규모,발주처,기성공정률,공사종류,외국인비율,사고발생
2,0,0,2,5,4,5,4,0,1,1,1,2,2,4,3.33,0
2,2,0,1,3,4,4,3,0,1,1,2,2,4,1,50.0,0
2,2,1,2,4,4,5,5,1,0,0,2,2,2,1,16.67,0
2,1,0,2,4,3,3,3,0,1,1,2,2,3,4,31.25,1
2,2,0,2,4,4,4,4,1,0,1,3,2,1,1,0.0,0
2,2,1,2,5,5,5,5,1,0,0,2,2,1,3,0.0,0
1,2,0,2,3,2,5,3,0,1,1,1,2,2,3,50.0,1
2,2,0,0,5,5,4,4,0,1,1,1,2,1,4,0.0,0
1,2,1,2,5,5,5,5,0,0,1,2,1,3,3,0.0,0
2,2,1,2,5,4,5,4,0,1,1,3,1,4,5,28.67,1
1,1,0,2,4,3,4,3,0,1,1,2,2,2,1,45.45,1
2,0,0,2,3,3,3,3,1,0,1,1,2,5,3,0.0,0
2,1,1,1,3,3,3,3,0,1,1,2,1,2,1,55.56,0
2,2,1,2,5,5,5,5,0,1,1,2,2,6,4,0.0,0
1,2,0,0,5,5,5,5,1,1,1,1,2,4,2,60.0,0
2,2,0,2,4,4,4,2,1,1,1,3,1,3,5,18.18,0
2,2,1,2,5,5,5,4,1,1,1,3,2,2,4,60.0,0
1,2,0,2,4,5,4,4,0,1,1,1,2,2,3,24.0,1
2,2,1,2,4,3,5,4,0,0,0,2,2,1,3,28.57,0
2,2,0,2,4,3,4,4,1,0,0,3,3,3,2,22.22,1
1,1,0,2,3,4,4,4,0,1,1,2,2,3,3,42.86,0
1,2,0,2,3,4,5,4,0,1,0,1,2,5,4,33.33,1
2,2,0,2,5,5,5,5,0,0,1,2,2,6,2,13.33,1
2,2,1,2,4,3,4,3,1,1,1,3,3,4,1,50.0,0
2,2,0,2,5,5,4,5,1,1,1,1,3,2,3,0.0,0
2,2,1,2,3,4,4,3,1,0,1,2,2,1,3,0.0,0
1,0,0,2,4,3,3,3,1,1,1,1,2,5,1,50.0,0
1,2,0,2,3,3,5,5,1,1,1,1,2,2,3,50.0,0
2,2,0,2,5,5,5,5,0,0,1,2,2,3,4,6.67,1
2,1,0,2,4,4,4,3,0,1,1,1,2,4,3,50.0,0
2,2,0,2,4,3,4,3,0,1,1,2,2,3,4,16.67,0
2,2,1,2,5,5,5,5,0,0,0,3,2,1,4,0.0,0
1,2,0,2,4,4,4,5,0,1,1,2,2,1,1,0.0,0
1,1,0,2,3,4,4,3,0,1,1,2,1,2,4,0.0,0
1,2,0,2,4,4,4,4,0,1,1,1,2,3,3,33.33,0
2,2,1,2,5,5,5,5,1,0,1,3,3,4,1,29.17,0
2,2,1,0,4,3,4,3,1,0,0,2,2,2,2,0.0,0
2,1,0,2,4,4,4,4,0,0,0,2,1,1,7,0.0,0
2,2,0,2,3,4,4,4,1,1,1,2,3,2,1,27.78,0
2,2,1,2,4,3,5,4,0,1,1,3,2,2,4,33.33,0
2,2,1,2,5,5,5,5,0,0,0,3,2,1,2,7.94,0
2,2,0,2,3,3,5,3,1,1,1,2,2,5,3,5.71,0
1,0,0,2,3,4,4,4,1,1,0,1,2,1,4,0.0,0
2,2,0,2,4,5,4,3,0,0,1,2,2,1,1,0.0,0
2,1,0,2,4,3,3,5,0,1,0,2,2,2,3,76.92,1
2,2,1,2,4,3,4,4,0,0,0,2,2,6,3,30.0,1
2,2,1,2,5,5,5,5,1,0,1,2,1,5,3,17.65,0
2,0,0,2,4,4,5,5,0,0,1,1,2,4,4,0.0,1
2,2,1,2,4,4,5,3,0,1,1,3,2,2,2,21.74,1
2,2,1,2,5,4,5,5,0,1,1,2,2,6,1,0.0,1
2,2,0,2,5,5,5,5,0,1,1,2,2,3,4,58.33,0
2,2,0,2,5,4,5,4,1,0,1,3,2,5,4,6.15,0
2,2,0,1,4,4,4,4,1,1,1,2,2,2,3,0.0,1
2,2,1,2,4,5,3,3,0,0,0,3,2,1,3,12.5,0
2,0,0,2,5,5,4,5,0,0,0,1,2,1,4,44.44,0
2,2,1,2,4,3,4,3,0,0,1,2,2,3,4,50.0,0
2,2,0,2,4,4,5,5,1,1,1,3,2,1,4,0.0,0
2,2,1,2,5,5,5,5,0,0,1,2,2,5,1,0.0,0
2,2,1,2,4,5,5,4,0,0,0,1,1,5,6,0.0,0
2,2,0,2,5,5,5,4,0,1,1,1,2,4,3,0.0,1
2,2,1,0,4,5,5,4,0,1,1,2,2,5,4,5.0,1
1,2,0,2,3,4,4,3,0,0,0,2,2,2,3,20.0,0
1,0,0,2,3,5,5,4,1,1,1,1,2,4,3,10.0,1
2,2,0,1,3,4,4,3,0,1,1,2,2,4,3,30.0,1
2,2,1,2,4,4,4,4,0,0,0,2,2,1,3,20.0,0
1,2,0,2,5,4,5,5,1,1,1,1,3,1,3,71.43,0
1,2,0,0,5,5,5,4,0,0,0,1,2,1,3,0.0,0
1,2,0,2,4,5,4,4,1,1,1,1,2,3,2,0.0,0
2,1,0,2,4,4,5,4,1,1,1,3,1,3,4,0.0,1
1,2,0,2,4,5,4,5,1,1,1,2,1,1,7,0.0,0
2,2,0,0,4,5,5,4,1,0,0,1,2,1,3,0.0,0
2,1,0,2,4,3,3,3,0,0,0,1,2,5,3,23.33,1
2,2,1,2,3,3,5,4,0,1,1,2,2,2,3,36.67,0
2,2,1,2,5,5,5,5,0,0,1,2,2,1,6,0.0,0
2,2,0,2,4,4,5,5,0,0,1,1,2,5,3,16.67,0
2,2,1,2,5,5,5,5,0,0,1,2,2,6,4,12.5,0
2,2,0,2,4,4,4,3,0,1,1,3,3,3,4,12.5,0
2,2,1,2,5,4,5,4,0,1,1,2,1,5,2,49.38,0
