순위,변수명,mean|SHAP|,변수 유형
1,고용노동부감독,0.05024939930899723,조절
2,전문지도,0.046518874467118713,조절
3,안전보건공단지원,0.02852775953085844,조절
4,정리정돈상태,0.01968949481415563,독립 B
5,위험성평가수준,0.013904467912394096,독립 B
6,작업중지권,0.008161262043186472,독립 B
7,작업반장기여,0.008042554186930647,독립 B
8,교육훈련도움,0.006775904367598662,독립 B
9,위원회수준,0.005328301916101466,독립 A
10,인증보유,0.003672079488834759,독립 A
11,안전조직수준,0.0026285935773304727,독립 A
